relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file,relevance_raw,doc_type_ai_raw,doc_type_ai_clean,presence_absence_clean,doi_clean,page_count_clean,paper_id,interaction_id,fungal_taxon_raw,fungal_taxon_resolved,fungal_taxon_status,fungal_taxon_resolution_method,fungal_taxon_confidence,fungal_taxon_accepted_ids,plant_host_raw,plant_host_resolved,plant_host_status,plant_host_resolution_method,plant_host_confidence,plant_host_accepted_ids
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1975.tb01599.x,solanum lycopersicum (tomato),botrytis cinerea,"stem, leaves, fruit",present,pathogenic,caused grey mould infections,NA,NA,abstract-csv,doi_10.1111_j.1744-7348.1975.tb01599.x,Relevant,Abstract,Abstract,Presence,10.1111/j.1744-7348.1975.tb01599.x,0,doi:10.1111/j.1744-7348.1975.tb01599.x,int_3726258704c1a17a,botrytis cinerea,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,solanum lycopersicum (tomato),solanum lycopersicum,Resolved,exact_accepted,1.00,2930137
Relevant,abstract,abstract,0,10.5586/aa.1977.024,linum usitatissimum (flax),fusarium sp.,soil,present,pathogenic,soil-borne infection,NA,NA,abstract-csv,doi_10.5586_aa.1977.024,Relevant,Abstract,Abstract,Presence,10.5586/aa.1977.024,0,doi:10.5586/aa.1977.024,int_0259f88c993460f6,fusarium sp.,fusarium,Resolved,exact_accepted,1.00,2554026,linum usitatissimum (flax),linum usitatissimum,Resolved,exact_accepted,1.00,2873861
Relevant,abstract,abstract,0,10.1007/bf02980298,fragaria x ananassa (strawberry,botrytis cinerea pers.,leaf,present,pathogenic,caused fruit rot,NA,NA,abstract-csv,doi_10.1007_bf02980298,Relevant,Abstract,Abstract,Presence,10.1007/bf02980298,0,doi:10.1007/bf02980298,int_237b929c4028b82a,botrytis cinerea pers.,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,fragaria x ananassa (strawberry,fragaria ananassa,Resolved,exact_accepted,1.00,3029912
Relevant,abstract,abstract,0,10.1007/bf02980298,cv. tioga),botrytis cinerea pers.,leaf,present,pathogenic,caused fruit rot,NA,NA,abstract-csv,doi_10.1007_bf02980298,Relevant,Abstract,Abstract,Presence,10.1007/bf02980298,0,doi:10.1007/bf02980298,int_ba782b2f5333cf94,botrytis cinerea pers.,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,cv. tioga),,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1080/09670877709412477,oryza sativa l.,not mentioned (nematode,roots,present,pathogenic,"caused by the nematode, artificially inoculated to rice plants",deep-water rice field,NA,abstract-csv,doi_10.1080_09670877709412477,Relevant,Abstract,Abstract,Presence,10.1080/09670877709412477,0,doi:10.1080/09670877709412477,int_9120ffc00c840803,not mentioned (nematode,,Unresolved,no_match,0.00,,oryza sativa l.,oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1080/09670877709412477,oryza sativa l.,ditylenchus angustus is not a fungus),roots,present,pathogenic,"caused by the nematode, artificially inoculated to rice plants",deep-water rice field,NA,abstract-csv,doi_10.1080_09670877709412477,Relevant,Abstract,Abstract,Presence,10.1080/09670877709412477,0,doi:10.1080/09670877709412477,int_1788e46412e08fe9,ditylenchus angustus is not a fungus),,Unresolved,no_match,0.00,,oryza sativa l.,oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1111/j.1365-3059.1975.tb01880.x,avena sativa (oat),pyrenophora avenae,seed,present,pathogenic,cause of leaf spot and seedling blight,NA,northern ireland,abstract-csv,doi_10.1111_j.1365-3059.1975.tb01880.x,Relevant,Abstract,Abstract,Presence,10.1111/j.1365-3059.1975.tb01880.x,0,doi:10.1111/j.1365-3059.1975.tb01880.x,int_a141bea9b0994faf,pyrenophora avenae,pyrenophora avenae,Resolved,exact_accepted,1.00,2616556,avena sativa (oat),avena sativa,Resolved,exact_accepted,1.00,2705290
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1976.tb01551.x,solanum tuberosum (tomato),striga spp. (potato wart disease causal agent),NA,present,pathogenic,"the text suggests the tomato is a susceptible host to potato wart disease, caused by striga spp.",NA,newfoundland,abstract-csv,doi_10.1111_j.1365-2338.1976.tb01551.x,Relevant,Abstract,Abstract,Presence,10.1111/j.1365-2338.1976.tb01551.x,0,doi:10.1111/j.1365-2338.1976.tb01551.x,int_7183c80adb112412,striga spp. (potato wart disease causal agent),striga,Resolved,exact_accepted,1.00,3171157,solanum tuberosum (tomato),solanum tuberosum,Resolved,exact_accepted,1.00,2930262
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1972.tb02122.x,tulipa spp.,botrytis tulipae (lib.) lind,NA,present,pathogenic,soil-borne pathogen causing disease in tulips,agricultural soil,NA,abstract-csv,doi_10.1111_j.1365-2338.1972.tb02122.x,Relevant,Abstract,Abstract,Presence,10.1111/j.1365-2338.1972.tb02122.x,0,doi:10.1111/j.1365-2338.1972.tb02122.x,int_99cdbe0f21a65c6c,botrytis tulipae (lib.) lind,botrytis tulipae,Resolved,exact_accepted,1.00,2583134,tulipa spp.,tulipa,Resolved,exact_accepted,1.00,2750913
Relevant,abstract,abstract,0,10.1139/m75-258,populus x euramericana (yellow poplar),glomus sp. (vesicular-arbuscular mycorrhiza),root,present,mycorrhizal,"intracellular hyphae and vesicles observed in mycorrhizal roots. hyphal deterioration observed, hypothesized to release mineral nutrients absorbed by the host.",NA,NA,abstract-csv,doi_10.1139_m75-258,Relevant,Abstract,Abstract,Presence,10.1139/m75-258,0,doi:10.1139/m75-258,int_63915cc236235837,glomus sp. (vesicular-arbuscular mycorrhiza),glomus,Resolved,exact_accepted,1.00,2559545,populus x euramericana (yellow poplar),populus canadensis,Resolved,synonym_map,0.95,8190077
