relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file,doc_type_ai_clean,paper_id,interaction_id,fungal_taxon_raw,fungal_taxon_resolved,fungal_taxon_status,fungal_taxon_resolution_method,fungal_taxon_confidence,fungal_taxon_accepted_ids,plant_host_raw,plant_host_resolved,plant_host_status,plant_host_resolution_method,plant_host_confidence,plant_host_accepted_ids
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1975.tb01599.x,solanum lycopersicum (tomato),botrytis cinerea,"""stem",leaves,"fruit""",present; pathogenic; caused grey mould infections,NA,NA,abstract-csv,doi_10.1111_j.1744-7348.1975.tb01599.x,Abstract,doi:10.1111/j.1744-7348.1975.tb01599.x,int_3726258704c1a17a,botrytis cinerea,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,solanum lycopersicum (tomato),solanum lycopersicum,Resolved,exact_accepted,1.00,2930137
Relevant,abstract,abstract,0,10.5586/aa.1977.024,linum usitatissimum (flax),fusarium sp.,soil,present,pathogenic,soil-borne infection,NA,NA,abstract-csv,doi_10.5586_aa.1977.024,Abstract,doi:10.5586/aa.1977.024,int_0259f88c993460f6,fusarium sp.,fusarium,Resolved,exact_accepted,1.00,2554026,linum usitatissimum (flax),linum usitatissimum,Resolved,exact_accepted,1.00,2873861
Relevant,abstract,abstract,0,10.1007/bf02980298,fragaria x ananassa (strawberry,botrytis cinerea pers.,leaf,present,pathogenic,caused fruit rot,not specified,not specified,abstract-csv,doi_10.1007_bf02980298,Abstract,doi:10.1007/bf02980298,int_237b929c4028b82a,botrytis cinerea pers.,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,fragaria x ananassa (strawberry,fragaria ananassa,Resolved,exact_accepted,1.00,3029912
Relevant,abstract,abstract,0,10.1007/bf02980298,cv. tioga),botrytis cinerea pers.,leaf,present,pathogenic,caused fruit rot,not specified,not specified,abstract-csv,doi_10.1007_bf02980298,Abstract,doi:10.1007/bf02980298,int_ba782b2f5333cf94,botrytis cinerea pers.,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,cv. tioga),,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1080/09670877709412477,oryza sativa l.,not mentioned (nematode,roots,present,pathogenic,"""caused by the nematode; artificially inoculated to rice plants""",deep-water rice field,not specified,abstract-csv,doi_10.1080_09670877709412477,Abstract,doi:10.1080/09670877709412477,int_9120ffc00c840803,not mentioned (nematode,,Unresolved,empty,0.00,,oryza sativa l.,oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1080/09670877709412477,oryza sativa l.,ditylenchus angustus is not a fungus),roots,present,pathogenic,"""caused by the nematode; artificially inoculated to rice plants""",deep-water rice field,not specified,abstract-csv,doi_10.1080_09670877709412477,Abstract,doi:10.1080/09670877709412477,int_1788e46412e08fe9,ditylenchus angustus is not a fungus),,Unresolved,no_match,0.00,,oryza sativa l.,oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1111/j.1365-3059.1975.tb01880.x,avena sativa (oat),pyrenophora avenae,seed,present,pathogenic,cause of leaf spot and seedling blight,NA,northern ireland,abstract-csv,doi_10.1111_j.1365-3059.1975.tb01880.x,Abstract,doi:10.1111/j.1365-3059.1975.tb01880.x,int_a141bea9b0994faf,pyrenophora avenae,pyrenophora avenae,Resolved,exact_accepted,1.00,2616556,avena sativa (oat),avena sativa,Resolved,exact_accepted,1.00,2705290
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1976.tb01551.x,solanum tuberosum (tomato),striga spp.,not specified,present,pathogenic,"""the text suggests the tomato is a susceptible host to potato wart disease; caused by striga spp.""",not specified,newfoundland,abstract-csv,doi_10.1111_j.1365-2338.1976.tb01551.x,Abstract,doi:10.1111/j.1365-2338.1976.tb01551.x,int_1da28e9163d99bec,striga spp.,striga,Resolved,exact_accepted,1.00,3171157,solanum tuberosum (tomato),solanum tuberosum,Resolved,exact_accepted,1.00,2930262
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1972.tb02122.x,tulipa spp.,botrytis tulipae lind,not specified,present,pathogenic,soil-borne pathogen causing disease in tulips,agricultural soil,not specified,abstract-csv,doi_10.1111_j.1365-2338.1972.tb02122.x,Abstract,doi:10.1111/j.1365-2338.1972.tb02122.x,int_23989855f7cbb12c,botrytis tulipae lind,botrytis tulipae,Resolved,exact_accepted,1.00,2583134,tulipa spp.,tulipa,Resolved,exact_accepted,1.00,2750913
Relevant,abstract,abstract,0,10.1139/m75-258,populus x euramericana (yellow poplar),glomus sp.,root,present,mycorrhizal,"""intracellular hyphae and vesicles observed in mycorrhizal roots. hyphal deterioration observed; hypothesized to release mineral nutrients absorbed by the host.""",NA,NA,abstract-csv,doi_10.1139_m75-258,Abstract,doi:10.1139/m75-258,int_b58a076aa5cc24a6,glomus sp.,glomus,Resolved,exact_accepted,1.00,2559545,populus x euramericana (yellow poplar),populus canadensis,Resolved,synonym_map,0.95,8190077
Relevant,abstract,abstract,0,10.1071/ea9720185,musa acuminata (banana),gloesporium musarum,"""cut surface","crown tissues in hands""",present,pathogenic; causes crown rot disease; tropical,"""new south wales","australia""",abstract-csv,doi_10.1071_ea9720185,Abstract,doi:10.1071/ea9720185,int_8c226843bbc8ab85,gloesporium musarum,,Unresolved,no_match,0.00,,musa acuminata (banana),musa acuminata,Resolved,exact_accepted,1.00,2762680
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1973.tb07743.x,apium graveolens,NA,NA,present,unknown,"the text does not provide information about any fungal interaction with the plant host.; ; ; abstract-csv; doi_10.1111_j.1744-7348.1973.tb07743.x relelevant; abstract; abstract; 0; 10.1002/ps.2780070409; higher plants; target fungus (unspecified); ""leaf; spores""; present; pathogenic; mycelium and spores show differing susceptibility to fungicide; activity in vitro does not always reflect effectiveness in vivo; emergence of insensitive strains",NA,NA,abstract-csv,doi_10.1002_ps.2780070409,Abstract,doi:10.1111/j.1744-7348.1973.tb07743.x,int_b11e1bc53ddac7a9,NA,,Unresolved,none,0.00,,apium graveolens,apium graveolens,Resolved,exact_accepted,1.00,5371879
Relevant,abstract,abstract,0,10.1080/03015521.1976.10425852,solanum tuberosum (potato),rhizoctonia solani kuhn,stem,present,pathogenic,causes potato black scurf disease,agricultural,not specified,abstract-csv,doi_10.1080_03015521.1976.10425852,Abstract,doi:10.1080/03015521.1976.10425852,int_7beef3cac46e9783,rhizoctonia solani kuhn,rhizoctonia solani,Resolved,exact_accepted,1.00,2555201,solanum tuberosum (potato),solanum tuberosum,Resolved,exact_accepted,1.00,2930262
