row_index,paper_id,interaction_id,field_name,raw_token,cleaned_token,resolution_method,is_ambiguous,ambiguity_count,confidence
3,doi:10.1007/bf02980298,int_ba782b2f5333cf94,plant_host,cv. tioga),cv. tioga,no_match,False,0,0.00
5,doi:10.1080/09670877709412477,int_1788e46412e08fe9,fungal_taxon,ditylenchus angustus is not a fungus),ditylenchus angustus,no_match,False,0,0.00
10,doi:10.1071/ea9720185,int_8c226843bbc8ab85,fungal_taxon,gloesporium musarum,gloesporium musarum,no_match,False,0,0.00
12,doi:10.1002/ps.2780070409,int_0e8e98ec397519dd,fungal_taxon,target fungus (unspecified),target fungus,no_match,False,0,0.00
22,doi:10.1007/bf01976954,int_bd2d7ca323797bbb,fungal_taxon,schimmels (fungi),schimmels,no_match,False,0,0.00
25,doi:10.1111/j.1365-3059.1972.tb01745.x,int_32cae7064a659114,plant_host,aphis gossypii,aphis gossypii,no_match,False,0,0.00
27,doi:10.1111/j.1365-2338.1973.tb02093.x,int_7563d3c0add962ca,fungal_taxon,benomyl,benomyl,no_match,False,0,0.00
36,doi:10.1111/j.1744-7348.1973.tb07301.x,int_e5b31042adb3e9b5,plant_host,golden delicious,golden delicious,no_match,False,0,0.00
36,doi:10.1111/j.1744-7348.1973.tb07301.x,int_e5b31042adb3e9b5,plant_host,jonathan),jonathan,no_match,False,0,0.00
38,doi:10.1111/j.1744-7348.1975.tb01531.x,int_02c8556dffcac927,fungal_taxon,oidium rosae (powdery mildew),oidium rosae,no_match,False,0,0.00
39,doi:10.1080/00288233.1975.10421059,int_59163a8d588fffeb,plant_host,grasses,grasses,no_match,False,0,0.00
40,doi:10.1080/00288233.1975.10421059,int_76c42543f7e01bd3,fungal_taxon,'glomus fasciculatus',glomus fasciculatus,no_match,False,0,0.00
40,doi:10.1080/00288233.1975.10421059,int_76c42543f7e01bd3,plant_host,grasses,grasses,no_match,False,0,0.00
41,doi:10.1080/00288233.1975.10421059,int_e89fbde4568f0eaf,plant_host,grasses,grasses,no_match,False,0,0.00
43,doi:10.1080/00288233.1975.10421059,int_61efdb724f966eae,fungal_taxon,'glomus fasciculatus',glomus fasciculatus,no_match,False,0,0.00
46,doi:10.1080/09670877209413455,int_a7e1b0a9cc98895a,fungal_taxon,powdery mildews,powdery mildews,no_match,False,0,0.00
47,doi:10.1111/j.1469-8137.1974.tb02142.x,int_cabe9ba06149631e,plant_host,grasses,grasses,no_match,False,0,0.00
47,doi:10.1111/j.1469-8137.1974.tb02142.x,int_cabe9ba06149631e,plant_host,nearly all the dicotyledonous plants (not specified in full),nearly all,no_match,False,0,0.00
48,doi:10.1111/j.1469-8137.1974.tb02142.x,int_eaa57f4e1162ca27,plant_host,grasses,grasses,no_match,False,0,0.00
